RoutePair,start_year,end_year,cagr_pct,span_years
BHATINDA - DELHI,2017.0,2025.0,2.77,8.0
BHAVNAGAR - MUMBAI,2016.0,2024.0,8.39,8.0
BHOPAL - DELHI,2016.0,2025.0,6.29,9.0
BHOPAL - HYDERABAD,2016.0,2025.0,37.91,9.0
BHOPAL - LUCKNOW,2018.0,2024.0,-4.67,6.0
BHOPAL - MUMBAI,2016.0,2025.0,1.54,9.0
BHOPAL - RAIPUR,2016.0,2025.0,9.34,9.0
BHUBANESWAR - CHENNAI,2016.0,2025.0,20.25,9.0
BHUBANESWAR - DELHI,2016.0,2025.0,4.55,9.0
BHUBANESWAR - GUWAHATI,2019.0,2025.0,0.06,6.0
BHUBANESWAR - HYDERABAD,2016.0,2025.0,13.61,9.0
BHUBANESWAR - KOLKATA,2016.0,2025.0,3.47,9.0
BHUBANESWAR - MUMBAI,2016.0,2025.0,2.56,9.0
BHUBANESWAR - RANCHI,2019.0,2025.0,9.78,6.0
BHUBANESWAR - VARANASI,2016.0,2025.0,0.8,9.0
BHUJ - MUMBAI,2016.0,2025.0,-1.31,9.0
BIKANER - DELHI,2018.0,2025.0,0.74,7.0
CHANDIGARH - CHENNAI,2016.0,2025.0,27.89,9.0
CHANDIGARH - DELHI,2016.0,2025.0,4.26,9.0
CHANDIGARH - HYDERABAD,2016.0,2025.0,37.42,9.0
CHANDIGARH - JAIPUR,2017.0,2025.0,9.03,8.0
CHANDIGARH - KOCHI,2016.0,2024.0,4.43,8.0
CHANDIGARH - KOLKATA,2017.0,2025.0,39.82,8.0
CHANDIGARH - LEH,2017.0,2025.0,4.95,8.0
CHANDIGARH - LUCKNOW,2018.0,2025.0,24.69,7.0
CHANDIGARH - MUMBAI,2016.0,2025.0,-0.65,9.0
CHANDIGARH - PUNE,2017.0,2025.0,11.19,8.0
CHANDIGARH - SRINAGAR,2016.0,2025.0,4.49,9.0
CHENNAI - COIMBATORE,2016.0,2025.0,3.43,9.0
CHENNAI - DEHRA DUN,2016.0,2022.0,28.85,6.0
CHENNAI - DELHI,2016.0,2025.0,-0.15,9.0
CHENNAI - GUWAHATI,2016.0,2025.0,11.24,9.0
CHENNAI - HYDERABAD,2016.0,2025.0,4.15,9.0
CHENNAI - INDORE,2016.0,2025.0,33.25,9.0
CHENNAI - JAIPUR,2016.0,2025.0,10.39,9.0
CHENNAI - KANNUR,2019.0,2025.0,-6.6,6.0
CHENNAI - KOCHI,2016.0,2025.0,3.89,9.0
CHENNAI - KOLKATA,2016.0,2025.0,0.1,9.0
CHENNAI - KOZHIKODE,2016.0,2025.0,9.46,9.0
CHENNAI - LUCKNOW,2017.0,2025.0,17.8,8.0
CHENNAI - MADURAI,2016.0,2025.0,-1.52,9.0
CHENNAI - MANGALORE,2016.0,2025.0,28.84,9.0
CHENNAI - MUMBAI,2016.0,2025.0,-0.6,9.0
CHENNAI - MYSORE,2018.0,2025.0,0.18,7.0
CHENNAI - PATNA,2018.0,2025.0,10.95,7.0
